,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
"Tetanus","2001","2.1","0","0.6"
"Tetanus","2000","2.4","0","0.7"
"Measles","2015","0","1.1","0.6"
"Measles","2014","0","0","0"
"Measles","2013","0","2.4","1.4"
"Measles","2012","0","2.4","1.4"
"Measles","2011","0","2.3","1.4"
"Measles","2010","0","3.6","2.2"
"Measles","2009","0","3.8","2.3"
"Measles","2008","0","1.2","0.7"
"Measles","2007","0","0.4","0.3"
"Measles","2006","0","1.1","0.7"
"Measles","2005","0","0.8","0.5"
"Measles","2004","0","0.1","0.1"
"Measles","2003","0","9.8","6.7"
"Measles","2002","0","34.2","26.1"
"Measles","2001","0","21.2","15.6"
"Measles","2000","0","11","7.9"
"Meningitis/encephalitis","2015","0","2.9","1.6"
"Meningitis/encephalitis","2014","0","3","1.6"
"Meningitis/encephalitis","2013","0","4","2.3"
"Meningitis/encephalitis","2012","0","4","2.3"
"Meningitis/encephalitis","2011","0","4","2.3"
"Meningitis/encephalitis","2010","0","4","2.4"
"Meningitis/encephalitis","2009","0","4","2.4"
"Meningitis/encephalitis","2008","0","4","2.5"
"Meningitis/encephalitis","2007","0","3.9","2.4"
"Meningitis/encephalitis","2006","0","3.9","2.5"
"Meningitis/encephalitis","2005","0","5.1","3.3"
"Meningitis/encephalitis","2004","0","5.3","3.5"
"Meningitis/encephalitis","2003","0","4.7","3.2"
"Meningitis/encephalitis","2002","0","3.4","2.6"
"Meningitis/encephalitis","2001","0","4","2.9"
"Meningitis/encephalitis","2000","0","6.6","4.7"
"Malaria","2015","0","7.1","3.9"
"Malaria","2014","0","7.2","4"
"Malaria","2013","0","6.6","3.8"
"Malaria","2012","0","6.7","3.9"
"Malaria","2011","0","6.8","4"
"Malaria","2010","0","6.9","4.1"
"Malaria","2009","0","6.9","4.3"
"Malaria","2008","0","7.3","4.5"
"Malaria","2007","0","7.6","4.8"
"Malaria","2006","0","8","5.1"
"Malaria","2005","0","8.3","5.4"
"Malaria","2004","0","9.4","6.1"
"Malaria","2003","0","9.8","6.7"
"Malaria","2002","0","7.9","6"
"Malaria","2001","0","10.1","7.4"
"Malaria","2000","0","11.6","8.3"
"Acute lower respiratory infections","2015","6","21.7","14.7"
"Acute lower respiratory infections","2014","6.1","21.9","14.9"
"Acute lower respiratory infections","2013","6.1","25.9","17.5"
"Acute lower respiratory infections","2012","6.2","25.8","17.6"
"Acute lower respiratory infections","2011","6.3","25.6","17.7"
"Acute lower respiratory infections","2010","6.3","25.3","17.8"
"Acute lower respiratory infections","2009","6.4","25.2","18"
"Acute lower respiratory infections","2008","6.4","25.6","18.3"
"Acute lower respiratory infections","2007","6.5","25.2","18.2"
"Acute lower respiratory infections","2006","6.6","25","18.3"
"Acute lower respiratory infections","2005","6.6","28.4","20.7"
"Acute lower respiratory infections","2004","6.7","29","21.3"
"Acute lower respiratory infections","2003","6.8","25.6","19.8"
"Acute lower respiratory infections","2002","6.8","18.2","15.5"
"Acute lower respiratory infections","2001","6.8","21.5","17.6"
"Acute lower respiratory infections","2000","6.8","23.3","18.6"
"Prematurity","2015","27.4","3.8","14.3"
"Prematurity","2014","27.5","3.8","14.3"
"Prematurity","2013","27.6","3.4","13.7"
"Prematurity","2012","27.9","3.4","13.7"
"Prematurity","2011","28.2","3.3","13.6"
"Prematurity","2010","28.6","3.3","13.3"
"Prematurity","2009","28.8","3.2","13.1"
"Prematurity","2008","29.1","3.3","13.1"
"Prematurity","2007","29.4","3.3","13.1"
"Prematurity","2006","29.8","3.2","12.8"
"Prematurity","2005","30.2","2.9","12.6"
"Prematurity","2004","30.6","2.8","12.3"
"Prematurity","2003","30.9","2.5","11.3"
"Prematurity","2002","31.5","1.7","8.8"
"Prematurity","2001","32.4","2","10.1"
"Prematurity","2000","33.2","2.2","11"
"Birth asphyxia and birth trauma","2015","25.7","1.9","12.5"
"Birth asphyxia and birth trauma","2014","25.9","1.9","12.5"
"Birth asphyxia and birth trauma","2013","26.1","1.7","12.1"
"Birth asphyxia and birth trauma","2012","26.3","1.7","12"
"Birth asphyxia and birth trauma","2011","26.5","1.7","11.9"
"Birth asphyxia and birth trauma","2010","26.7","1.6","11.6"
"Birth asphyxia and birth trauma","2009","26.9","1.6","11.4"
"Birth asphyxia and birth trauma","2008","27.1","1.7","11.4"
"Birth asphyxia and birth trauma","2007","27.3","1.7","11.3"
"Birth asphyxia and birth trauma","2006","27.6","1.6","11"
"Birth asphyxia and birth trauma","2005","27.9","1.5","10.8"
"Birth asphyxia and birth trauma","2004","28.3","1.4","10.7"
"Birth asphyxia and birth trauma","2003","28.8","1.2","9.8"
"Birth asphyxia and birth trauma","2002","28.9","0.9","7.5"
"Birth asphyxia and birth trauma","2001","28.6","1","8.3"
"Birth asphyxia and birth trauma","2000","28.3","1.1","8.8"
"Sepsis and other infectious conditions of the newborn","2015","22","0","9.8"
"Sepsis and other infectious conditions of the newborn","2014","22.1","0","9.8"
"Sepsis and other infectious conditions of the newborn","2013","22.2","0","9.5"
"Sepsis and other infectious conditions of the newborn","2012","22.2","0","9.3"
"Sepsis and other infectious conditions of the newborn","2011","22.2","0","9.1"
"Sepsis and other infectious conditions of the newborn","2010","22.3","0","8.8"
"Sepsis and other infectious conditions of the newborn","2009","22.3","0","8.6"
"Sepsis and other infectious conditions of the newborn","2008","22.4","0","8.5"
"Sepsis and other infectious conditions of the newborn","2007","22.3","0","8.3"
"Sepsis and other infectious conditions of the newborn","2006","22.1","0","8"
"Sepsis and other infectious conditions of the newborn","2005","21.6","0","7.6"
"Sepsis and other infectious conditions of the newborn","2004","20.9","0","7.2"
"Sepsis and other infectious conditions of the newborn","2003","20.1","0","6.2"
"Sepsis and other infectious conditions of the newborn","2002","19.4","0","4.6"
"Sepsis and other infectious conditions of the newborn","2001","19","0","5"
"Sepsis and other infectious conditions of the newborn","2000","18.6","0","5.3"
"Other communicable, perinatal and nutritional conditions","2015","5.3","13.1","9.6"
"Other communicable, perinatal and nutritional conditions","2014","5.3","13.2","9.7"
"Other communicable, perinatal and nutritional conditions","2013","5.3","11.6","8.9"
"Other communicable, perinatal and nutritional conditions","2012","5.3","11.5","8.9"
"Other communicable, perinatal and nutritional conditions","2011","5.3","11.4","8.9"
"Other communicable, perinatal and nutritional conditions","2010","5.2","11","8.7"
"Other communicable, perinatal and nutritional conditions","2009","5.2","10.6","8.6"
"Other communicable, perinatal and nutritional conditions","2008","5.2","11","8.8"
"Other communicable, perinatal and nutritional conditions","2007","5.2","11","8.8"
"Other communicable, perinatal and nutritional conditions","2006","5.1","10.5","8.5"
"Other communicable, perinatal and nutritional conditions","2005","5","9.4","7.9"
"Other communicable, perinatal and nutritional conditions","2004","5","9.1","7.7"
"Other communicable, perinatal and nutritional conditions","2003","5","7.9","7"
"Other communicable, perinatal and nutritional conditions","2002","4.8","5.7","5.5"
"Other communicable, perinatal and nutritional conditions","2001","4.6","6.7","6.1"
"Other communicable, perinatal and nutritional conditions","2000","4.5","7.3","6.5"
"Congenital anomalies","2015","11.9","5.6","8.4"
"Congenital anomalies","2014","11.5","5.6","8.2"
"Congenital anomalies","2013","10.9","5","7.5"
"Congenital anomalies","2012","10.4","4.9","7.2"
"Congenital anomalies","2011","9.7","4.9","6.9"
"Congenital anomalies","2010","9","4.8","6.5"
"Congenital anomalies","2009","8.4","4.7","6.1"
"Congenital anomalies","2008","7.7","4.8","5.9"
"Congenital anomalies","2007","7.2","4.7","5.7"
"Congenital anomalies","2006","6.6","4.6","5.3"
"Congenital anomalies","2005","6.2","4.2","4.9"
"Congenital anomalies","2004","5.8","4","4.6"
"Congenital anomalies","2003","5.4","3.5","4.1"
"Congenital anomalies","2002","5.2","2.5","3.1"
"Congenital anomalies","2001","4.9","2.8","3.4"
"Congenital anomalies","2000","4.7","3.1","3.5"
"Other noncommunicable diseases","2015","0.1","9.6","5.4"
"Other noncommunicable diseases","2014","0.1","9.6","5.4"
"Other noncommunicable diseases","2013","0.1","8.5","4.9"
"Other noncommunicable diseases","2012","0.1","8.4","4.9"
"Other noncommunicable diseases","2011","0.1","8.5","5"
"Other noncommunicable diseases","2010","0.1","8.6","5.2"
"Other noncommunicable diseases","2009","0.1","8.7","5.4"
"Other noncommunicable diseases","2008","0.1","8.8","5.5"
"Other noncommunicable diseases","2007","0.1","9.1","5.7"
"Other noncommunicable diseases","2006","0.1","9","5.8"
"Other noncommunicable diseases","2005","0.1","8.3","5.4"
"Other noncommunicable diseases","2004","0.1","8.1","5.4"
"Other noncommunicable diseases","2003","0.1","7.2","5"
"Other noncommunicable diseases","2002","0.1","5.1","3.9"
"Other noncommunicable diseases","2001","0.1","5.9","4.4"
"Other noncommunicable diseases","2000","0.1","6.4","4.6"
"Injuries","2015","0.5","13.3","7.6"
"Injuries","2014","0.5","13.2","7.6"
"Injuries","2013","0.5","11.6","6.9"
"Injuries","2012","0.5","11.3","6.7"
"Injuries","2011","0.5","10.9","6.7"
"Injuries","2010","0.5","10.4","6.5"
"Injuries","2009","0.5","10","6.3"
"Injuries","2008","0.5","9.9","6.3"
"Injuries","2007","0.5","9.6","6.2"
"Injuries","2006","0.5","9.1","6"
"Injuries","2005","0.5","8","5.4"
"Injuries","2004","0.5","7.5","5.1"
"Injuries","2003","0.6","6.4","4.6"
"Injuries","2002","0.6","4.4","3.5"
"Injuries","2001","0.6","5","3.8"
"Injuries","2000","0.6","5.3","4"
