,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
"Acute lower respiratory infections","2010","6","21.5","16.8"
"Acute lower respiratory infections","2009","6","20.5","16.2"
"Acute lower respiratory infections","2008","6","20.1","16"
"Acute lower respiratory infections","2007","6","19.4","15.5"
"Acute lower respiratory infections","2006","6.1","19.4","15.5"
"Acute lower respiratory infections","2005","6.1","20.3","16.2"
"Acute lower respiratory infections","2004","6.2","21.9","17.3"
"Acute lower respiratory infections","2003","6.2","21.7","17.3"
"Acute lower respiratory infections","2002","6.2","21.4","17.2"
"Acute lower respiratory infections","2001","6.2","19.7","16.2"
"Acute lower respiratory infections","2000","6.3","20.9","17"
"Prematurity","2015","33.8","2.9","12.9"
"Prematurity","2014","33.6","2.9","12.5"
"Prematurity","2013","33.5","2.8","12.4"
"Prematurity","2012","33.4","2.8","12.3"
"Prematurity","2011","33.3","2.7","12"
"Prematurity","2010","33.3","2.5","11.8"
"Prematurity","2009","33.2","2.4","11.5"
"Prematurity","2008","33","2.3","11.4"
"Prematurity","2007","32.7","2.3","11.2"
"Prematurity","2006","32.4","2.2","11.1"
"Prematurity","2005","32.3","2.1","10.8"
"Prematurity","2004","32.6","2","10.8"
"Prematurity","2003","33.2","2","10.8"
"Prematurity","2002","33.5","2","10.7"
"Prematurity","2001","33.5","1.8","10"
"Prematurity","2000","33.1","1.9","10.2"
"Birth asphyxia and birth trauma","2015","25.8","1.6","9.4"
"Birth asphyxia and birth trauma","2014","25.9","1.6","9.3"
"Birth asphyxia and birth trauma","2013","26.1","1.6","9.2"
"Birth asphyxia and birth trauma","2012","26.2","1.6","9.2"
"Birth asphyxia and birth trauma","2011","26.3","1.5","9.1"
"Birth asphyxia and birth trauma","2010","26.3","1.4","8.9"
"Birth asphyxia and birth trauma","2009","26.2","1.3","8.7"
"Birth asphyxia and birth trauma","2008","26.3","1.3","8.6"
"Birth asphyxia and birth trauma","2007","26.4","1.3","8.7"
"Birth asphyxia and birth trauma","2006","26.7","1.2","8.7"
"Birth asphyxia and birth trauma","2005","26.9","1.1","8.6"
"Birth asphyxia and birth trauma","2004","27","1.1","8.6"
"Birth asphyxia and birth trauma","2003","27","1.1","8.4"
"Birth asphyxia and birth trauma","2002","27","1.1","8.2"
"Birth asphyxia and birth trauma","2001","27","1","7.7"
"Birth asphyxia and birth trauma","2000","27.2","1","8"
"Sepsis and other infectious conditions of the newborn","2015","21.7","0","7"
"Sepsis and other infectious conditions of the newborn","2014","21.8","0","6.8"
"Sepsis and other infectious conditions of the newborn","2013","21.8","0","6.8"
"Sepsis and other infectious conditions of the newborn","2012","21.9","0","6.8"
"Sepsis and other infectious conditions of the newborn","2011","22","0","6.7"
"Sepsis and other infectious conditions of the newborn","2010","22.2","0","6.7"
"Sepsis and other infectious conditions of the newborn","2009","22.4","0","6.6"
"Sepsis and other infectious conditions of the newborn","2008","22.7","0","6.7"
"Sepsis and other infectious conditions of the newborn","2007","22.8","0","6.7"
"Sepsis and other infectious conditions of the newborn","2006","22.8","0","6.7"
"Sepsis and other infectious conditions of the newborn","2005","22.5","0","6.5"
"Sepsis and other infectious conditions of the newborn","2004","22.1","0","6.4"
"Sepsis and other infectious conditions of the newborn","2003","21.6","0","6.1"
"Sepsis and other infectious conditions of the newborn","2002","21.3","0","5.9"
"Sepsis and other infectious conditions of the newborn","2001","21.2","0","5.5"
"Sepsis and other infectious conditions of the newborn","2000","21.2","0","5.7"
"Other communicable, perinatal and nutritional conditions","2015","4.5","15.3","11.8"
"Other communicable, perinatal and nutritional conditions","2014","4.5","14.9","11.6"
"Other communicable, perinatal and nutritional conditions","2013","4.5","14.7","11.5"
"Other communicable, perinatal and nutritional conditions","2012","4.5","14.6","11.5"
"Other communicable, perinatal and nutritional conditions","2011","4.5","13.9","11"
"Other communicable, perinatal and nutritional conditions","2010","4.4","14.1","11.2"
"Other communicable, perinatal and nutritional conditions","2009","4.4","13.4","10.7"
"Other communicable, perinatal and nutritional conditions","2008","4.4","12.9","10.4"
"Other communicable, perinatal and nutritional conditions","2007","4.4","12.6","10.2"
"Other communicable, perinatal and nutritional conditions","2006","4.5","12.2","9.9"
"Other communicable, perinatal and nutritional conditions","2005","4.5","11.3","9.3"
"Other communicable, perinatal and nutritional conditions","2004","4.4","11","9.1"
"Other communicable, perinatal and nutritional conditions","2003","4.2","10.9","9"
"Other communicable, perinatal and nutritional conditions","2002","4.1","10.7","8.9"
"Other communicable, perinatal and nutritional conditions","2001","4.1","9.8","8.3"
"Other communicable, perinatal and nutritional conditions","2000","4.1","10.3","8.6"
"Congenital anomalies","2015","6.1","4.6","5.1"
"Congenital anomalies","2014","5.9","4.4","4.9"
"Congenital anomalies","2013","5.8","4.3","4.8"
"Congenital anomalies","2012","5.7","4.3","4.7"
"Congenital anomalies","2011","5.5","4","4.5"
"Congenital anomalies","2010","5.4","3.8","4.3"
"Congenital anomalies","2009","5.3","3.6","4.1"
"Congenital anomalies","2008","5.2","3.4","3.9"
"Congenital anomalies","2007","5.1","3.3","3.8"
"Congenital anomalies","2006","5","3.2","3.7"
"Congenital anomalies","2005","4.9","3","3.5"
"Congenital anomalies","2004","4.8","2.8","3.4"
"Congenital anomalies","2003","4.7","2.8","3.3"
"Congenital anomalies","2002","4.6","2.7","3.2"
"Congenital anomalies","2001","4.6","2.5","3"
"Congenital anomalies","2000","4.5","2.6","3.1"
"Other noncommunicable diseases","2015","0.1","7.2","5"
"Other noncommunicable diseases","2014","0.1","7","4.9"
"Other noncommunicable diseases","2013","0.1","6.9","4.8"
"Other noncommunicable diseases","2012","0.1","6.9","4.8"
"Other noncommunicable diseases","2011","0.1","6.4","4.5"
"Other noncommunicable diseases","2010","0.1","5","3.5"
"Other noncommunicable diseases","2009","0.1","4.7","3.4"
"Other noncommunicable diseases","2008","0.1","4.6","3.2"
"Other noncommunicable diseases","2007","0.1","4.4","3.2"
"Other noncommunicable diseases","2006","0.1","4.3","3.1"
"Other noncommunicable diseases","2005","0.1","4","2.9"
"Other noncommunicable diseases","2004","0.1","3.9","2.8"
"Other noncommunicable diseases","2003","0.1","3.8","2.8"
"Other noncommunicable diseases","2002","0.1","3.7","2.7"
"Other noncommunicable diseases","2001","0.1","3.4","2.6"
"Other noncommunicable diseases","2000","0.1","3.6","2.7"
"Injuries","2015","0.8","8","5.7"
"Injuries","2014","0.8","7.8","5.6"
"Injuries","2013","0.8","7.6","5.5"
"Injuries","2012","0.8","7.6","5.5"
"Injuries","2011","0.8","7.1","5.2"
"Injuries","2010","0.8","6.7","4.9"
"Injuries","2009","0.8","6.3","4.7"
"Injuries","2008","0.8","6.1","4.5"
"Injuries","2007","0.9","5.9","4.4"
"Injuries","2006","0.9","5.7","4.3"
"Injuries","2005","0.9","5.3","4"
"Injuries","2004","0.9","5.1","3.9"
"Injuries","2003","0.9","5","3.8"
"Injuries","2002","0.9","4.8","3.7"
"Injuries","2001","1","4.4","3.5"
"Injuries","2000","1","4.6","3.6"
