,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
"Pertussis","2003","0.1","0.8","0.6"
"Pertussis","2002","0.1","0.8","0.6"
"Pertussis","2001","0.1","0.8","0.6"
"Pertussis","2000","0.1","0.8","0.6"
"Tetanus","2015","0.6","0","0.2"
"Tetanus","2014","0.6","0","0.2"
"Tetanus","2013","0.6","0","0.2"
"Tetanus","2012","0.7","0","0.2"
"Tetanus","2011","0.7","0","0.2"
"Tetanus","2010","0.8","0","0.2"
"Tetanus","2009","0.9","0","0.2"
"Tetanus","2008","1","0","0.3"
"Tetanus","2007","1.2","0","0.3"
"Tetanus","2006","1.4","0","0.3"
"Tetanus","2005","1.6","0","0.4"
"Tetanus","2004","1.9","0","0.5"
"Tetanus","2003","2.2","0","0.5"
"Tetanus","2002","2.5","0","0.6"
"Tetanus","2001","2.8","0","0.6"
"Tetanus","2000","3.1","0","0.7"
"Measles","2015","0","3.3","2.3"
"Measles","2014","0","2.6","1.8"
"Measles","2013","0","2.9","2"
"Measles","2012","0","18","13.5"
"Measles","2011","0","3.3","2.3"
"Measles","2010","0","5.4","3.9"
"Measles","2009","0","25.1","19.6"
"Measles","2008","0","0.9","0.7"
"Measles","2007","0","1.3","1"
"Measles","2006","0","1.4","1.1"
"Measles","2005","0","0.8","0.6"
"Measles","2004","0","1.6","1.2"
"Measles","2003","0","6.5","5"
"Measles","2002","0","8.7","6.8"
"Measles","2001","0","8.7","6.8"
"Measles","2000","0","14.8","11.6"
"Meningitis/encephalitis","2015","0","2.9","2"
"Meningitis/encephalitis","2014","0","2.8","2"
"Meningitis/encephalitis","2013","0","4.1","2.9"
"Meningitis/encephalitis","2012","0","3.5","2.6"
"Meningitis/encephalitis","2011","0","2.4","1.7"
"Meningitis/encephalitis","2010","0","2.1","1.6"
"Meningitis/encephalitis","2009","0","1.6","1.2"
"Meningitis/encephalitis","2008","0","3.2","2.4"
"Meningitis/encephalitis","2007","0","3.4","2.6"
"Meningitis/encephalitis","2006","0","3.8","2.9"
"Meningitis/encephalitis","2005","0","5.2","3.9"
"Meningitis/encephalitis","2004","0","5","3.8"
"Meningitis/encephalitis","2003","0","4.5","3.4"
"Meningitis/encephalitis","2002","0","4.1","3.2"
"Meningitis/encephalitis","2001","0","3.9","3"
"Meningitis/encephalitis","2000","0","3.5","2.8"
"Malaria","2015","0","30.6","21.4"
"Malaria","2014","0","33.5","23.5"
"Malaria","2013","0","34.6","24.5"
"Malaria","2012","0","33.9","25.3"
"Malaria","2011","0","47.3","34.1"
"Malaria","2010","0","51.2","37.4"
"Malaria","2009","0","42.1","32.9"
"Malaria","2008","0","54","40"
"Malaria","2007","0","51.3","38.4"
"Malaria","2006","0","48.9","37"
"Malaria","2005","0","46.7","35.3"
"Malaria","2004","0","47.6","36.2"
"Malaria","2003","0","47.6","36.7"
"Malaria","2002","0","48.6","37.6"
"Malaria","2001","0","50.2","38.8"
"Malaria","2000","0","47.9","37.5"
"Acute lower respiratory infections","2015","6","15.8","12.8"
"Acute lower respiratory infections","2014","6.1","15.3","12.6"
"Acute lower respiratory infections","2013","6.1","17.9","14.5"
"Acute lower respiratory infections","2012","6.1","13.5","11.7"
"Acute lower respiratory infections","2011","6.2","14.2","12"
"Acute lower respiratory infections","2010","6.2","12.4","10.7"
"Acute lower respiratory infections","2009","6.3","9.3","8.6"
"Acute lower respiratory infections","2008","6.3","12.3","10.7"
"Acute lower respiratory infections","2007","6.4","12.8","11.2"
"Acute lower respiratory infections","2006","6.4","13.6","11.9"
"Acute lower respiratory infections","2005","6.4","15.8","13.6"
"Acute lower respiratory infections","2004","6.5","15.1","13.1"
"Acute lower respiratory infections","2003","6.6","13.5","11.9"
"Acute lower respiratory infections","2002","6.6","12.4","11.1"
"Acute lower respiratory infections","2001","6.7","11.7","10.6"
"Acute lower respiratory infections","2000","6.7","10.5","9.7"
"Prematurity","2015","31.3","2.5","11.2"
"Prematurity","2014","31.1","2.4","10.9"
"Prematurity","2013","30.9","2","10.4"
"Prematurity","2012","30.8","1.5","8.9"
"Prematurity","2011","30.8","1.6","9.7"
"Prematurity","2010","31","1.4","9.3"
"Prematurity","2009","31.2","1","7.6"
"Prematurity","2008","31.6","1.3","9.2"
"Prematurity","2007","32","1.4","9.1"
"Prematurity","2006","32.4","1.4","9"
"Prematurity","2005","32.8","1.3","9"
"Prematurity","2004","33.1","1.3","8.9"
"Prematurity","2003","33.1","1.1","8.5"
"Prematurity","2002","33.2","1","8.3"
"Prematurity","2001","33.1","1","8.2"
"Prematurity","2000","33.1","0.9","7.8"
"Birth asphyxia and birth trauma","2015","26.8","1.3","9"
"Birth asphyxia and birth trauma","2014","27.1","1.2","8.9"
"Birth asphyxia and birth trauma","2013","27.3","1","8.7"
"Birth asphyxia and birth trauma","2012","27.5","0.8","7.5"
"Birth asphyxia and birth trauma","2011","27.6","0.8","8.3"
"Birth asphyxia and birth trauma","2010","27.6","0.7","7.9"
"Birth asphyxia and birth trauma","2009","27.7","0.5","6.5"
"Birth asphyxia and birth trauma","2008","27.7","0.7","7.7"
"Birth asphyxia and birth trauma","2007","27.6","0.7","7.5"
"Birth asphyxia and birth trauma","2006","27.4","0.7","7.3"
"Birth asphyxia and birth trauma","2005","27.4","0.7","7.2"
"Birth asphyxia and birth trauma","2004","27.3","0.7","7.1"
"Birth asphyxia and birth trauma","2003","27.5","0.6","6.8"
"Birth asphyxia and birth trauma","2002","27.6","0.5","6.6"
"Birth asphyxia and birth trauma","2001","27.8","0.5","6.7"
"Birth asphyxia and birth trauma","2000","27.9","0.5","6.4"
"Sepsis and other infectious conditions of the newborn","2015","22.5","0","6.8"
"Sepsis and other infectious conditions of the newborn","2014","22.7","0","6.7"
"Sepsis and other infectious conditions of the newborn","2013","22.8","0","6.7"
"Sepsis and other infectious conditions of the newborn","2012","22.9","0","5.8"
"Sepsis and other infectious conditions of the newborn","2011","23","0","6.4"
"Sepsis and other infectious conditions of the newborn","2010","22.9","0","6.2"
"Sepsis and other infectious conditions of the newborn","2009","22.8","0","5"
"Sepsis and other infectious conditions of the newborn","2008","22.5","0","5.9"
"Sepsis and other infectious conditions of the newborn","2007","22.3","0","5.6"
"Sepsis and other infectious conditions of the newborn","2006","21.9","0","5.4"
"Sepsis and other infectious conditions of the newborn","2005","21.4","0","5.2"
"Sepsis and other infectious conditions of the newborn","2004","20.8","0","5"
"Sepsis and other infectious conditions of the newborn","2003","20.1","0","4.6"
"Sepsis and other infectious conditions of the newborn","2002","19.5","0","4.4"
"Sepsis and other infectious conditions of the newborn","2001","19","0","4.3"
"Sepsis and other infectious conditions of the newborn","2000","18.5","0","4"
"Other communicable, perinatal and nutritional conditions","2015","4","12.2","9.7"
"Other communicable, perinatal and nutritional conditions","2014","4","11.6","9.3"
"Other communicable, perinatal and nutritional conditions","2013","4","9.6","8"
"Other communicable, perinatal and nutritional conditions","2012","4","7.1","6.3"
"Other communicable, perinatal and nutritional conditions","2011","4","7.2","6.3"
"Other communicable, perinatal and nutritional conditions","2010","4","6.2","5.6"
"Other communicable, perinatal and nutritional conditions","2009","4","4.6","4.5"
"Other communicable, perinatal and nutritional conditions","2008","3.9","6.1","5.5"
"Other communicable, perinatal and nutritional conditions","2007","3.9","6.3","5.7"
"Other communicable, perinatal and nutritional conditions","2006","3.9","6.3","5.7"
"Other communicable, perinatal and nutritional conditions","2005","3.8","5.9","5.4"
"Other communicable, perinatal and nutritional conditions","2004","3.8","5.5","5.1"
"Other communicable, perinatal and nutritional conditions","2003","3.7","4.8","4.5"
"Other communicable, perinatal and nutritional conditions","2002","3.7","4.2","4.1"
"Other communicable, perinatal and nutritional conditions","2001","3.7","3.9","3.9"
"Other communicable, perinatal and nutritional conditions","2000","3.6","3.4","3.5"
"Congenital anomalies","2015","6.7","3.2","4.3"
"Congenital anomalies","2014","6.4","3","4.1"
"Congenital anomalies","2013","6.2","2.6","3.6"
"Congenital anomalies","2012","5.9","1.9","2.9"
"Congenital anomalies","2011","5.6","2","3"
"Congenital anomalies","2010","5.3","1.7","2.7"
"Congenital anomalies","2009","5","1.3","2.1"
"Congenital anomalies","2008","4.7","1.6","2.4"
"Congenital anomalies","2007","4.5","1.7","2.4"
"Congenital anomalies","2006","4.4","1.7","2.3"
"Congenital anomalies","2005","4.3","1.6","2.3"
"Congenital anomalies","2004","4.3","1.5","2.2"
"Congenital anomalies","2003","4.4","1.3","2"
"Congenital anomalies","2002","4.5","1.2","1.9"
"Congenital anomalies","2001","4.6","1.1","1.9"
"Congenital anomalies","2000","4.7","1","1.8"
"Other noncommunicable diseases","2015","0.1","6.6","4.6"
"Other noncommunicable diseases","2014","0.1","6.3","4.5"
"Other noncommunicable diseases","2013","0.1","5.2","3.7"
"Other noncommunicable diseases","2012","0.1","3.9","2.9"
"Other noncommunicable diseases","2011","0.1","4","2.9"
"Other noncommunicable diseases","2010","0.1","3.4","2.5"
"Other noncommunicable diseases","2009","0.1","2.5","2"
"Other noncommunicable diseases","2008","0.1","3.3","2.5"
"Other noncommunicable diseases","2007","0.1","3.4","2.6"
"Other noncommunicable diseases","2006","0.1","3.6","2.7"
"Other noncommunicable diseases","2005","0.1","3.4","2.6"
"Other noncommunicable diseases","2004","0.1","3.3","2.5"
"Other noncommunicable diseases","2003","0.1","2.9","2.3"
"Other noncommunicable diseases","2002","0.1","2.6","2.1"
"Other noncommunicable diseases","2001","0.1","2.4","1.9"
"Other noncommunicable diseases","2000","0.1","2.1","1.7"
"Injuries","2015","1.3","7.7","5.8"
"Injuries","2014","1.4","7.3","5.5"
"Injuries","2013","1.4","6.1","4.7"
"Injuries","2012","1.4","4.5","3.7"
"Injuries","2011","1.3","4.6","3.7"
"Injuries","2010","1.3","3.9","3.2"
"Injuries","2009","1.3","2.8","2.5"
"Injuries","2008","1.3","3.6","3"
"Injuries","2007","1.2","3.6","3"
"Injuries","2006","1.2","3.6","3"
"Injuries","2005","1.2","3.3","2.8"
"Injuries","2004","1.2","3.1","2.6"
"Injuries","2003","1.2","2.7","2.3"
"Injuries","2002","1.1","2.4","2.1"
"Injuries","2001","1.1","2.2","2"
"Injuries","2000","1.1","2","1.8"
