,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
"Sepsis and other infectious conditions of the newborn","2013","8.9","0","4.4"
"Sepsis and other infectious conditions of the newborn","2012","8.8","0","4.5"
"Sepsis and other infectious conditions of the newborn","2011","8.8","0","4.5"
"Sepsis and other infectious conditions of the newborn","2010","8.5","0","4.4"
"Sepsis and other infectious conditions of the newborn","2009","8","0","4.1"
"Sepsis and other infectious conditions of the newborn","2008","8","0","4.1"
"Sepsis and other infectious conditions of the newborn","2007","8","0","4"
"Sepsis and other infectious conditions of the newborn","2006","7.9","0","4"
"Sepsis and other infectious conditions of the newborn","2005","7.9","0","3.7"
"Sepsis and other infectious conditions of the newborn","2004","8.9","0","4.2"
"Sepsis and other infectious conditions of the newborn","2003","9.4","0","4.5"
"Sepsis and other infectious conditions of the newborn","2002","8.9","0","4.3"
"Sepsis and other infectious conditions of the newborn","2001","7.1","0","3.4"
"Sepsis and other infectious conditions of the newborn","2000","9.1","0","4.4"
"Other communicable, perinatal and nutritional conditions","2015","8.3","9.8","9.1"
"Other communicable, perinatal and nutritional conditions","2014","8.3","10","9.1"
"Other communicable, perinatal and nutritional conditions","2013","8.3","7.6","7.9"
"Other communicable, perinatal and nutritional conditions","2012","8.3","7.4","7.8"
"Other communicable, perinatal and nutritional conditions","2011","8.4","6.3","7.4"
"Other communicable, perinatal and nutritional conditions","2010","8.5","3.2","5.9"
"Other communicable, perinatal and nutritional conditions","2009","8.6","2.3","5.5"
"Other communicable, perinatal and nutritional conditions","2008","8.9","1.8","5.4"
"Other communicable, perinatal and nutritional conditions","2007","9.2","1.3","5.2"
"Other communicable, perinatal and nutritional conditions","2006","9.7","0","4.8"
"Other communicable, perinatal and nutritional conditions","2005","10.3","0","4.9"
"Other communicable, perinatal and nutritional conditions","2004","11.1","0","5.3"
"Other communicable, perinatal and nutritional conditions","2003","11.8","0","5.6"
"Other communicable, perinatal and nutritional conditions","2002","12.2","0","5.9"
"Other communicable, perinatal and nutritional conditions","2001","12.4","0","6"
"Other communicable, perinatal and nutritional conditions","2000","12.4","0","6"
"Congenital anomalies","2015","20.4","21.4","20.9"
"Congenital anomalies","2014","20","21.1","20.5"
"Congenital anomalies","2013","19.7","21","20.3"
"Congenital anomalies","2012","19.4","20.6","20"
"Congenital anomalies","2011","19.1","20.3","19.7"
"Congenital anomalies","2010","18.9","19.7","19.3"
"Congenital anomalies","2009","18.7","19","18.9"
"Congenital anomalies","2008","18.7","19","18.8"
"Congenital anomalies","2007","18.7","18.6","18.6"
"Congenital anomalies","2006","18.7","18.4","18.5"
"Congenital anomalies","2005","18.6","16.1","17.3"
"Congenital anomalies","2004","18.2","15.8","17"
"Congenital anomalies","2003","17.6","15.4","16.4"
"Congenital anomalies","2002","16.7","15.1","15.9"
"Congenital anomalies","2001","15.6","14.6","15.1"
"Congenital anomalies","2000","14.4","13.7","14.1"
"Other noncommunicable diseases","2015","0.3","18.4","9.4"
"Other noncommunicable diseases","2014","0.3","18.3","9.3"
"Other noncommunicable diseases","2013","0.3","18.2","9.3"
"Other noncommunicable diseases","2012","0.3","17.9","9"
"Other noncommunicable diseases","2011","0.3","17.6","8.8"
"Other noncommunicable diseases","2010","0.3","18.9","9.4"
"Other noncommunicable diseases","2009","0.3","18.1","9.1"
"Other noncommunicable diseases","2008","0.3","17.9","9"
"Other noncommunicable diseases","2007","0.3","17.3","8.8"
"Other noncommunicable diseases","2006","0.3","17","8.6"
"Other noncommunicable diseases","2005","0.3","14.8","7.9"
"Other noncommunicable diseases","2004","0.3","14.5","7.7"
"Other noncommunicable diseases","2003","0.3","14.2","7.6"
"Other noncommunicable diseases","2002","0.3","14.2","7.5"
"Other noncommunicable diseases","2001","0.3","13.9","7.3"
"Other noncommunicable diseases","2000","0.3","13.4","7.1"
"Injuries","2015","1.1","8.6","4.8"
"Injuries","2014","1.1","8.5","4.8"
"Injuries","2013","1.1","8.6","4.8"
"Injuries","2012","1.1","8.4","4.7"
"Injuries","2011","1.1","8.3","4.6"
"Injuries","2010","1.1","9","4.9"
"Injuries","2009","1.1","8.5","4.8"
"Injuries","2008","1.1","8.3","4.7"
"Injuries","2007","1.1","7.9","4.5"
"Injuries","2006","1","7.6","4.3"
"Injuries","2005","1","6.4","3.9"
"Injuries","2004","1","6.2","3.7"
"Injuries","2003","1","6","3.6"
"Injuries","2002","0.9","5.9","3.5"
"Injuries","2001","1","5.9","3.5"
"Injuries","2000","1","5.8","3.5"
