,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
"Tetanus","2006","3.9","0","1.4"
"Tetanus","2005","4.6","0","1.6"
"Tetanus","2004","5.1","0","1.5"
"Tetanus","2003","5.5","0","1.5"
"Tetanus","2002","6.1","0","2"
"Tetanus","2001","6.9","0","2.2"
"Tetanus","2000","7.7","0","2.4"
"Measles","2015","0","0.9","0.5"
"Measles","2014","0","1.7","1"
"Measles","2013","0","0.7","0.4"
"Measles","2012","0","2.1","1.2"
"Measles","2011","0","1.8","1"
"Measles","2010","0","1.2","0.7"
"Measles","2009","0","1.6","1"
"Measles","2008","0","1.1","0.7"
"Measles","2007","0","0.1","0.1"
"Measles","2006","0","2.4","1.5"
"Measles","2005","0","4.7","3.1"
"Measles","2004","0","25.9","18.4"
"Measles","2003","0","32.2","23.7"
"Measles","2002","0","9","6.1"
"Measles","2001","0","5.4","3.7"
"Measles","2000","0","12.6","8.7"
"Meningitis/encephalitis","2015","0","4.6","2.6"
"Meningitis/encephalitis","2014","0","4.5","2.6"
"Meningitis/encephalitis","2013","0","4.5","2.6"
"Meningitis/encephalitis","2012","0","4.4","2.6"
"Meningitis/encephalitis","2011","0","4.3","2.6"
"Meningitis/encephalitis","2010","0","4.4","2.6"
"Meningitis/encephalitis","2009","0","4.4","2.6"
"Meningitis/encephalitis","2008","0","5.8","3.6"
"Meningitis/encephalitis","2007","0","5.9","3.7"
"Meningitis/encephalitis","2006","0","5.8","3.6"
"Meningitis/encephalitis","2005","0","5.6","3.6"
"Meningitis/encephalitis","2004","0","4.2","3"
"Meningitis/encephalitis","2003","0","3.7","2.7"
"Meningitis/encephalitis","2002","0","4.8","3.2"
"Meningitis/encephalitis","2001","0","4.7","3.2"
"Meningitis/encephalitis","2000","0","4.1","2.9"
"Malaria","2015","0","7.1","4"
"Malaria","2014","0","7.1","4.1"
"Malaria","2013","0","7.1","4.1"
"Malaria","2012","0","6.9","4"
"Malaria","2011","0","6.8","4"
"Malaria","2010","0","6.7","4"
"Malaria","2009","0","6.5","4"
"Malaria","2008","0","6","3.7"
"Malaria","2007","0","6.2","3.8"
"Malaria","2006","0","6.5","4.1"
"Malaria","2005","0","7.3","4.7"
"Malaria","2004","0","6.9","4.9"
"Malaria","2003","0","8.2","6.1"
"Malaria","2002","0","14","9.5"
"Malaria","2001","0","17.7","12"
"Malaria","2000","0","19.3","13.4"
"Acute lower respiratory infections","2015","7","25.7","17.5"
"Acute lower respiratory infections","2014","7","25.4","17.5"
"Acute lower respiratory infections","2013","7","25.1","17.4"
"Acute lower respiratory infections","2012","7.1","24.4","17.2"
"Acute lower respiratory infections","2011","7.1","24.3","17.3"
"Acute lower respiratory infections","2010","7.1","24.4","17.5"
"Acute lower respiratory infections","2009","7.2","24.3","17.5"
"Acute lower respiratory infections","2008","7.2","28.4","20.2"
"Acute lower respiratory infections","2007","7.3","28.7","20.5"
"Acute lower respiratory infections","2006","7.3","27.9","20.3"
"Acute lower respiratory infections","2005","7.3","26.9","19.9"
"Acute lower respiratory infections","2004","7.3","20.5","16.6"
"Acute lower respiratory infections","2003","7.3","18.1","15.3"
"Acute lower respiratory infections","2002","7.3","23.4","18.2"
"Acute lower respiratory infections","2001","7.3","23.2","18"
"Acute lower respiratory infections","2000","7.3","20.5","16.4"
"Prematurity","2015","25.2","3.2","12.9"
"Prematurity","2014","25.1","3.1","12.6"
"Prematurity","2013","25.1","3.1","12.4"
"Prematurity","2012","25","3","12.1"
"Prematurity","2011","25","3","12"
"Prematurity","2010","24.8","2.9","11.8"
"Prematurity","2009","24.6","2.9","11.5"
"Prematurity","2008","25.2","2.7","11.4"
"Prematurity","2007","26.5","2.7","11.8"
"Prematurity","2006","28.4","2.6","12.1"
"Prematurity","2005","29.7","2.5","12.1"
"Prematurity","2004","30.2","1.9","10.1"
"Prematurity","2003","30.1","1.6","9.2"
"Prematurity","2002","30","2.1","11.1"
"Prematurity","2001","30.1","2.1","11.2"
"Prematurity","2000","30.3","1.8","10.6"
"Birth asphyxia and birth trauma","2015","31.5","1.8","14.8"
"Birth asphyxia and birth trauma","2014","31.6","1.7","14.6"
"Birth asphyxia and birth trauma","2013","31.8","1.7","14.5"
"Birth asphyxia and birth trauma","2012","31.9","1.6","14.2"
"Birth asphyxia and birth trauma","2011","31.8","1.6","13.9"
"Birth asphyxia and birth trauma","2010","31.6","1.6","13.7"
"Birth asphyxia and birth trauma","2009","31.1","1.6","13.3"
"Birth asphyxia and birth trauma","2008","30.5","1.5","12.7"
"Birth asphyxia and birth trauma","2007","29.7","1.5","12.3"
"Birth asphyxia and birth trauma","2006","28.9","1.4","11.6"
"Birth asphyxia and birth trauma","2005","28.5","1.3","10.9"
"Birth asphyxia and birth trauma","2004","28.3","1","8.9"
"Birth asphyxia and birth trauma","2003","28.4","0.9","8.2"
"Birth asphyxia and birth trauma","2002","28.5","1.1","9.9"
"Birth asphyxia and birth trauma","2001","28.5","1.1","10"
"Birth asphyxia and birth trauma","2000","28.3","1","9.4"
"Sepsis and other infectious conditions of the newborn","2015","20.6","0","9"
"Sepsis and other infectious conditions of the newborn","2014","20.6","0","8.9"
"Sepsis and other infectious conditions of the newborn","2013","20.6","0","8.7"
"Sepsis and other infectious conditions of the newborn","2012","20.6","0","8.5"
"Sepsis and other infectious conditions of the newborn","2011","20.8","0","8.5"
"Sepsis and other infectious conditions of the newborn","2010","21.3","0","8.6"
"Sepsis and other infectious conditions of the newborn","2009","22","0","8.7"
"Sepsis and other infectious conditions of the newborn","2008","22.1","0","8.6"
"Sepsis and other infectious conditions of the newborn","2007","21.4","0","8.2"
"Sepsis and other infectious conditions of the newborn","2006","20","0","7.4"
"Sepsis and other infectious conditions of the newborn","2005","18.8","0","6.7"
"Sepsis and other infectious conditions of the newborn","2004","18.1","0","5.3"
"Sepsis and other infectious conditions of the newborn","2003","17.7","0","4.7"
"Sepsis and other infectious conditions of the newborn","2002","17.2","0","5.5"
"Sepsis and other infectious conditions of the newborn","2001","16.4","0","5.3"
"Sepsis and other infectious conditions of the newborn","2000","15.6","0","4.8"
"Other communicable, perinatal and nutritional conditions","2015","4.9","12.1","8.9"
"Other communicable, perinatal and nutritional conditions","2014","4.9","11.9","8.9"
"Other communicable, perinatal and nutritional conditions","2013","4.9","11.7","8.8"
"Other communicable, perinatal and nutritional conditions","2012","4.9","11.3","8.6"
"Other communicable, perinatal and nutritional conditions","2011","4.9","11.3","8.7"
"Other communicable, perinatal and nutritional conditions","2010","5","11.4","8.8"
"Other communicable, perinatal and nutritional conditions","2009","5.2","11.4","9"
"Other communicable, perinatal and nutritional conditions","2008","5.2","11.1","8.8"
"Other communicable, perinatal and nutritional conditions","2007","5","11.2","8.9"
"Other communicable, perinatal and nutritional conditions","2006","4.7","10.9","8.6"
"Other communicable, perinatal and nutritional conditions","2005","4.5","10.5","8.4"
"Other communicable, perinatal and nutritional conditions","2004","4.4","8","6.9"
"Other communicable, perinatal and nutritional conditions","2003","4.4","7","6.3"
"Other communicable, perinatal and nutritional conditions","2002","4.3","9","7.5"
"Other communicable, perinatal and nutritional conditions","2001","4.2","8.9","7.3"
"Other communicable, perinatal and nutritional conditions","2000","4.1","7.8","6.6"
"Congenital anomalies","2015","7.1","5","5.9"
"Congenital anomalies","2014","6.9","4.9","5.7"
"Congenital anomalies","2013","6.6","4.7","5.5"
"Congenital anomalies","2012","6.3","4.5","5.3"
"Congenital anomalies","2011","6","4.5","5.1"
"Congenital anomalies","2010","5.7","4.4","4.9"
"Congenital anomalies","2009","5.4","4.3","4.8"
"Congenital anomalies","2008","5.1","3.9","4.4"
"Congenital anomalies","2007","4.9","3.9","4.3"
"Congenital anomalies","2006","4.6","3.7","4"
"Congenital anomalies","2005","4.5","3.5","3.8"
"Congenital anomalies","2004","4.4","2.6","3.1"
"Congenital anomalies","2003","4.4","2.3","2.8"
"Congenital anomalies","2002","4.5","2.9","3.4"
"Congenital anomalies","2001","4.5","2.8","3.4"
"Congenital anomalies","2000","4.6","2.4","3.1"
"Other noncommunicable diseases","2015","0.1","6.2","3.6"
"Other noncommunicable diseases","2014","0.1","6.1","3.5"
"Other noncommunicable diseases","2013","0.1","6","3.5"
"Other noncommunicable diseases","2012","0.1","5.7","3.4"
"Other noncommunicable diseases","2011","0.1","5.6","3.4"
"Other noncommunicable diseases","2010","0.1","5.5","3.4"
"Other noncommunicable diseases","2009","0.1","5.4","3.3"
"Other noncommunicable diseases","2008","0.1","4.1","2.5"
"Other noncommunicable diseases","2007","0.1","4.1","2.6"
"Other noncommunicable diseases","2006","0.1","3.9","2.5"
"Other noncommunicable diseases","2005","0.1","3.8","2.5"
"Other noncommunicable diseases","2004","0.1","2.8","2"
"Other noncommunicable diseases","2003","0.1","2.5","1.9"
"Other noncommunicable diseases","2002","0.1","3.2","2.2"
"Other noncommunicable diseases","2001","0.1","3.1","2.2"
"Other noncommunicable diseases","2000","0.1","2.8","1.9"
"Injuries","2015","0.9","8.9","5.4"
"Injuries","2014","0.9","8.7","5.3"
"Injuries","2013","0.9","8.4","5.2"
"Injuries","2012","0.9","8","5.1"
"Injuries","2011","0.9","7.8","5"
"Injuries","2010","0.9","7.6","4.9"
"Injuries","2009","1","7.4","4.9"
"Injuries","2008","1","6.6","4.4"
"Injuries","2007","0.9","6.5","4.4"
"Injuries","2006","0.9","6.2","4.2"
"Injuries","2005","0.8","5.8","4.1"
"Injuries","2004","0.8","4.3","3.3"
"Injuries","2003","0.8","3.8","3"
"Injuries","2002","0.8","4.7","3.5"
"Injuries","2001","0.8","4.6","3.4"
"Injuries","2000","0.8","4","3"
